 Teaching Research Citations Industry_Income International_Outlook
"University of Oxford" 90.5 99.6 98.4 65.5 excellent
"California Institute of Technology" 92.1 97.2 97.9 88.0 excellent
"University of Cambridge" 91.4 98.7 95.8 59.3 excellent
"Stanford University" 92.8 96.4 99.9 66.2 excellent
"Massachusetts Institute of Technology" 90.5 92.4 99.5 86.9 excellent
"Princeton University" 90.3 96.3 98.8 58.6 excellent
"Harvard University" 89.2 98.6 99.1 47.3 excellent
"Yale University" 92.0 94.8 97.3 52.4 excellent
"University of Chicago" 89.1 91.4 96.7 52.7 excellent
"Imperial College London" 84.5 87.6 97.0 69.9 excellent
"University of Pennsylvania" 87.5 90.4 98.2 74.0 excellent
"Johns Hopkins University" 81.7 91.4 98.3 91.3 excellent
"University of California, Berkeley" 83.0 90.6 99.2 46.1 excellent
"ETH Zurich" 81.8 92.8 90.3 56.8 excellent
UCL 77.8 88.7 96.1 42.7 excellent
"Columbia University" 85.6 82.6 98.2 44.8 excellent
"University of California, Los Angeles" 83.1 88.6 97.3 51.3 excellent
"University of Toronto" 76.6 89.5 93.6 50.5 excellent
"Cornell University" 79.7 86.0 96.6 37.1 excellent
"Duke University" 82.4 76.8 97.0 99.9 excellent
"University of Michigan-Ann Arbor" 79.4 86.1 94.9 47.7 excellent
"Northwestern University" 74.2 83.8 97.8 78.4 excellent
"Tsinghua University" 86.6 94.0 74.6 100.0 excellent
"Peking University" 89.1 90.0 73.2 86.6 excellent
"National University of Singapore" 76.8 90.4 76.9 58.8 
"University of Washington" 72.2 82.2 98.6 47.5 excellent
"Carnegie Mellon University" 65.9 82.7 98.2 50.5 excellent
"London School of Economics and Political Science" 69.0 83.0 92.8 35.1 excellent
"New York University" 76.8 77.5 96.5 38.7 excellent
"University of Edinburgh" 67.3 74.1 96.4 38.9 excellent
"University of California, San Diego" 62.6 78.9 97.7 90.3 excellent
"LMU Munich" 68.4 77.0 88.8 100.0 excellent
"University of Melbourne" 65.9 74.1 89.8 76.3 excellent
"University of British Columbia" 61.5 73.2 92.5 43.8 excellent
"University of Hong Kong" 69.5 77.2 76.6 59.7 excellent
"King�s College London" 61.3 68.5 94.8 45.6 excellent
"The University of Tokyo" 85.9 89.6 60.7 77.4 excellent
"�cole Polytechnique F�d�rale de Lausanne" 66.6 66.3 88.3 66.4 excellent
"Georgia Institute of Technology" 60.2 76.4 90.4 61.6 excellent
"University of Texas at Austin" 68.2 76.2 93.2 46.6 excellent
"Karolinska Institute" 55.4 71.4 96.1 71.2 good
"McGill University" 65.0 71.9 84.7 42.8 excellent
"Technical University of Munich" 64.6 70.4 85.5 100.0 excellent
"Heidelberg University" 67.1 60.3 96.2 54.6 excellent
"KU Leuven" 58.7 73.9 85.3 99.3 good
"Paris Sciences et Lettres � PSL Research University Paris" 71.6 71.4 77.0 52.2 excellent
"The Hong Kong University of Science and Technology" 57.4 66.1 89.8 71.9 good
"University of Illinois at Urbana-Champaign" 63.2 78.0 84.4 47.9 excellent
"Nanyang Technological University, Singapore" 57.6 70.4 84.9 76.5 good
"Australian National University" 54.4 69.7 88.4 46.4 good
"University of Wisconsin-Madison" 68.8 70.3 85.3 46.3 excellent
"Washington University in St Louis" 64.2 57.5 98.8 40.7 excellent
"Brown University" 64.0 56.1 94.9 36.5 excellent
"University of North Carolina at Chapel Hill" 59.7 63.2 96.9 43.9 good
"University of California, Davis" 62.4 66.9 83.2 51.4 excellent
"University of Manchester" 56.9 63.8 85.2 44.7 good
"University of California, Santa Barbara" 47.9 63.6 96.4 84.5 good
"Chinese University of Hong Kong" 55.8 62.8 84.5 55.2 good
"Wageningen University & Research" 49.3 57.1 96.1 100.0 
"University of Sydney" 51.0 61.5 90.7 67.7 good
"Boston University" 57.3 55.6 95.7 41.4 good
"University of Amsterdam" 48.0 63.4 91.2 45.3 good
"University of Southern California" 54.7 59.3 93.1 39.7 good
"Seoul National University" 72.3 71.6 66.5 86.6 excellent
"Kyoto University" 73.7 78.1 59.9 66.2 excellent
"University of Queensland" 49.3 58.7 86.8 80.9 good
"Delft University of Technology" 55.3 72.3 63.2 99.4 good
"Leiden University" 48.3 65.0 83.1 72.7 good
"Erasmus University Rotterdam" 39.4 57.3 97.1 63.6 good
"Ohio State University (Main campus)" 57.5 56.1 87.3 53.3 good
"UNSW Sydney" 50.2 58.2 82.9 57.9 good
"McMaster University" 44.5 50.1 94.8 94.0 good
"University of Groningen" 42.3 55.6 91.6 79.8 good
"Humboldt University of Berlin" 61.8 66.8 67.9 40.2 excellent
"Monash University" 47.3 56.6 83.8 67.2 good
"Utrecht University" 44.1 61.2 88.4 65.3 good
"University of Warwick" 46.9 52.7 88.8 42.8 good
"Penn State (Main campus)" 55.2 67.1 75.7 52.1 good
"University of Minnesota" 55.2 59.3 82.7 78.2 good
"Charit� - Universit�tsmedizin Berlin" 47.6 47.3 94.9 92.7 
"Emory University" 56.0 40.4 98.8 45.4 good
"University of Science and Technology of China" 64.6 59.5 74.7 79.6 excellent
"Sorbonne University" 62.3 50.6 79.9 38.4 excellent
"Michigan State University" 56.6 57.4 80.0 37.8 good
"University of Montreal" 48.2 49.7 86.4 70.0 good
"University of Freiburg" 49.1 51.6 83.1 100.0 good
"University of Bristol" 41.8 48.4 95.5 40.9 good
"Purdue University West Lafayette" 57.5 66.4 63.0 64.3 good
"Sungkyunkwan University (SKKU)" 57.6 61.2 70.3 97.3 good
"University of Zurich" 47.0 46.7 88.2 53.0 good
"University of Maryland, College Park" 46.9 59.1 89.6 39.2 good
"University of T�bingen" 51.2 56.2 80.1 67.0 good
"�cole Polytechnique" 59.6 49.1 70.2 69.6 good
"University of Basel" 43.0 41.2 91.4 99.4 good
"Dartmouth College" 58.4 39.9 96.4 41.0 good
"University of California, Irvine" 43.3 46.5 94.9 58.9 
"University of Helsinki" 43.4 59.3 88.1 38.1 good
"Lund University" 40.7 54.3 86.3 81.0 good
"University of Glasgow" 41.1 47.9 91.8 40.0 good
"RWTH Aachen University" 55.6 61.5 67.3 98.1 good
"University of Copenhagen" 48.1 44.1 89.6 48.1 good
"Uppsala University" 41.6 56.4 85.0 74.6 good
"Georgetown University" 57.3 37.9 93.9 62.5 good
"University of Arizona" 52.6 53.7 85.3 52.7 good
"Rice University" 49.1 39.7 93.7 45.4 good
"University of Bonn" 47.6 47.0 88.0 93.3 good
"University of Virginia (Main campus)" 54.4 43.5 91.3 41.6 good
"Zhejiang University" 66.0 64.7 50.6 100.0 excellent
"Fudan University" 61.9 58.6 68.1 58.6 excellent
"Korea Advanced Institute of Science and Technology (KAIST)" 62.6 66.4 58.1 99.9 
"Queen Mary University of London" 35.3 43.1 98.0 44.1 good
"University of Birmingham" 39.6 45.6 92.1 39.3 good
"University of Bern" 44.5 41.2 86.6 85.0 good
"University of Pittsburgh-Pittsburgh campus" 47.4 45.5 95.1 40.7 good
"Aarhus University" 37.2 54.0 85.4 66.7 good
"Vanderbilt University" 48.7 42.1 95.4 47.5 good
"Free University of Berlin" 57.2 63.3 58.4 42.4 good
"University of Sheffield" 45.2 46.4 83.0 45.8 good
"Case Western Reserve University" 48.4 39.9 95.3 42.1 good
"University of Adelaide" 34.3 41.6 95.3 64.8 good
"National Taiwan University" 57.0 62.7 64.0 65.4 good
"University of Southampton" 40.2 44.3 88.0 40.1 good
"Ghent University" 43.3 55.5 78.4 80.9 good
"University of Colorado Boulder" 44.8 45.6 93.1 41.7 good
"University of G�ttingen" 49.6 48.6 82.0 37.0 good
"City University of Hong Kong" 41.0 48.9 77.6 62.4 good
"Maastricht University" 40.2 48.3 77.0 82.9 good
"Radboud University Nijmegen" 36.0 49.9 88.2 46.2 good
"University of York" 40.3 46.6 85.1 36.4 good
"University of Paris" 52.0 36.1 88.3 35.6 good
"University of Oslo" 39.6 43.8 90.0 40.7 good
"University of Western Australia" 32.5 43.9 91.0 57.0 good
"Durham University" 45.5 47.8 75.5 37.9 good
"Indiana University" 50.8 49.7 76.7 49.8 good
"University of Vienna" 48.1 55.3 64.6 37.1 good
"University of Alberta" 47.9 48.8 70.3 60.5 good
"University of Cape Town" 33.2 42.8 90.3 85.3 good
"Vrije Universiteit Amsterdam" 35.7 48.1 88.4 52.5 good
"Tufts University" 49.1 34.2 94.4 38.6 good
"Lancaster University" 34.7 39.4 92.5 36.0 good
"University of Ottawa" 41.3 42.0 86.2 46.5 good
"Ulm University" 40.6 36.6 94.9 75.7 good
"Pompeu Fabra University" 37.7 40.1 94.4 44.5 good
"University of Geneva" 38.1 43.7 80.4 63.3 good
"Nanjing University" 50.7 48.0 71.8 84.9 good
"University of Exeter" 33.9 38.9 92.4 37.8 good
"Pohang University of Science and Technology (POSTECH)" 51.7 50.9 72.2 99.6 good
"University of Sussex" 35.3 37.9 91.8 35.9 good
"University of Hamburg" 44.4 49.8 74.0 98.5 good
"Sant�Anna School of Advanced Studies � Pisa" 45.0 42.3 82.5 84.7 good
"Technical University of Berlin" 50.4 53.9 62.3 92.7 good
"Universit� Catholique de Louvain" 38.8 51.5 75.7 53.7 good
"University of Nottingham" 42.7 42.6 80.3 39.4 good
"Scuola Normale Superiore di Pisa" 57.2 38.1 79.2 35.9 
"Arizona State University (Tempe)" 39.3 50.7 81.6 38.5 good
"University of Leeds" 41.1 45.9 78.0 39.9 good
"Autonomous University of Barcelona" 40.9 36.1 92.9 44.8 good
"University of Cologne" 43.6 42.9 81.5 70.6 good
"University of Mannheim" 41.9 50.0 78.2 58.6 good
"University of Notre Dame" 52.9 46.2 73.5 38.1 good
"Shanghai Jiao Tong University" 58.0 63.0 47.9 99.9 good
"TU Dresden" 46.5 48.5 73.0 94.1 good
"University of W�rzburg" 38.7 42.4 87.5 65.6 good
"Trinity College Dublin" 41.7 43.9 75.4 41.2 good
"University of Liverpool" 35.2 37.5 88.8 38.8 good
"Bielefeld University" 36.1 42.7 91.1 59.4 good
"University of Leicester" 30.1 34.8 96.2 38.1 good
"University of Aberdeen" 30.4 33.3 95.2 45.8 good
"University of Bologna" 51.5 34.8 83.8 45.1 good
"Rutgers, the State University of New Jersey" 47.8 48.5 73.9 41.1 good
"Hong Kong Polytechnic University" 41.0 46.6 71.8 42.3 good
"University of Alabama at Birmingham" 39.2 33.6 97.3 74.8 good
"Northeastern University" 38.0 27.9 97.5 38.0 good
"University of Rochester" 43.4 30.3 91.4 40.9 good
"University of Florida" 54.0 53.8 61.9 57.9 good
"Karlsruhe Institute of Technology" 45.4 47.8 66.5 91.3 good
"Stockholm University" 30.0 46.4 85.0 36.6 good
"Texas A&M University" 49.3 54.8 62.8 45.3 good
"University of Auckland" 31.4 43.9 80.2 62.4 good
"University of California, Santa Cruz" 33.1 34.9 97.7 39.1 good
"Korea University" 48.4 50.2 64.5 93.9 good
"Queensland University of Technology" 31.9 40.3 86.4 62.4 good
"University of Erlangen-Nuremberg" 41.1 45.8 75.2 89.6 good
"Aalto University" 41.8 39.4 76.7 48.3 good
"Technical University of Denmark" 39.4 40.2 73.8 71.6 good
"Eindhoven University of Technology" 44.6 48.8 61.0 99.8 good
"University of Gothenburg" 27.5 41.5 93.5 40.1 good
"T�l�com Paris" 42.6 38.3 74.4 76.6 good
"Lomonosov Moscow State University" 78.2 63.0 15.6 90.7 excellent
"University of M�nster" 41.0 42.5 81.3 47.5 good
"Tel Aviv University" 41.3 51.3 71.2 41.8 good
"University of East Anglia" 28.3 30.1 97.2 35.7 good
"University of Canberra" 25.2 31.1 99.2 38.6 good
"University of Duisburg-Essen" 34.4 32.8 91.8 71.6 good
"University of Technology Sydney" 33.5 42.9 75.3 50.3 good
"University of the Witwatersrand" 31.2 43.2 78.8 100.0 good
"Yonsei University (Seoul campus)" 51.2 52.6 53.0 98.9 good
"Cardiff University" 32.5 35.5 87.1 37.8 good
"University of Antwerp" 35.6 44.5 75.8 72.2 good
"George Washington University" 48.6 32.4 81.5 35.0 good
"University of Lausanne" 33.1 44.2 73.3 67.8 good
"University of St Andrews" 42.2 41.8 67.8 37.6 good
"University of Luxembourg" 37.9 36.5 75.8 45.2 good
"Newcastle University" 31.5 36.2 85.5 41.7 good
"Macquarie University" 37.8 42.6 71.8 53.1 good
"Queen�s University Belfast" 31.2 35.5 83.7 38.7 good
"Aalborg University" 28.5 39.1 87.1 48.0 good
"Ulsan National Institute of Science and Technology (UNIST)" 27.8 38.6 91.3 80.5 
"Western University" 40.2 35.7 76.4 59.1 good
"University of Massachusetts" 38.5 31.1 87.0 49.9 good
"University of Calgary" 33.9 34.2 84.7 48.1 good
"University of Bergen" 29.5 29.4 94.1 37.1 good
"University of Hohenheim" 34.4 31.0 92.0 50.0 good
"University of Barcelona" 37.3 32.5 87.6 41.2 good
"�cole Normale Sup�rieure de Lyon" 45.2 43.5 63.9 47.0 good
"Royal College of Surgeons in Ireland (RCSI)" 30.1 26.9 90.0 47.5 good
"Hebrew University of Jerusalem" 48.2 45.1 62.3 41.4 good
"University of South Florida (Tampa)" 30.5 34.2 87.3 89.0 good
"University of Otago" 30.2 32.1 84.7 37.0 good
"King Abdulaziz University" 29.5 16.5 96.4 78.9 good
"University of Utah" 39.0 34.7 86.4 48.3 good
"Vita-Salute San Raffaele University" 38.7 22.4 97.6 35.9 good
"KTH Royal Institute of Technology" 40.5 42.7 62.3 50.5 good
"Tilburg University" 36.8 48.8 62.1 55.9 good
"University of Konstanz" 38.8 44.2 66.4 72.1 good
"Medical University of Graz" 30.9 25.1 91.7 62.1 good
"Medical University of Vienna" 33.4 23.5 90.3 53.0 good
"University of Iowa" 43.1 29.5 82.3 54.0 good
"Paris-Sud University" 33.7 32.3 85.9 35.1 good
"Universit� Libre de Bruxelles" 30.2 41.5 73.6 42.7 good
"University of Miami" 44.0 25.2 83.2 41.3 good
"University of Reading" 32.1 35.2 76.9 40.3 good
"University of Dundee" 24.8 31.2 90.5 46.5 good
"University of Hawai�i at M?noa" 36.3 38.9 73.8 51.5 good
"Moscow Institute of Physics and Technology" 53.3 45.6 47.2 99.9 good
"Vrije Universiteit Brussel" 37.4 42.3 62.7 87.0 good
"Howard University" 42.8 15.3 99.0 34.4 good
"University of Waterloo" 35.0 42.1 66.3 45.1 good
"William & Mary" 47.5 21.1 87.4 35.3 good
"University of Wollongong" 29.9 35.0 75.5 55.7 good
"Copenhagen Business School" 25.3 32.4 83.7 43.6 good
"Griffith University" 25.5 32.7 86.0 42.0 good
"University of Padua" 42.5 30.9 80.2 38.4 good
"Virginia Polytechnic Institute and State University" 37.5 42.3 70.9 47.5 good
"Brandeis University" 28.5 22.9 100.0 35.6 good
"James Cook University" 23.3 28.4 93.3 45.9 good
"University College Dublin" 30.8 36.5 73.6 43.9 good
"St George�s, University of London" 24.0 22.0 98.2 36.9 good
"University of Twente" 35.2 46.8 55.6 85.0 good
"Wake Forest University" 42.8 18.8 94.1 43.6 good
"University of California, Riverside" 31.2 30.3 85.9 39.4 good
"Higher School of Economics" 35.9 37.3 78.1 56.5 good
"University of Passau" 32.8 39.3 75.5 47.5 good
"University of South Australia" 31.5 39.4 65.8 82.5 good
