wineId	country	description
219	Hungary	From a vineyard in Northern Tokaj this dry Furmint has aromas of citrus pith and freshly cut pineapple. In the mouth, there are delightful flavors of grapefruit juice and white peach before the pleasantly acidic finish.
271	Greece	Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.
308	Greece	This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.
351	Hungary	This amber-colored Hungarian stunner has ethereal aromas of raw honey, beeswax, freshly baked tarte Tatin, canned apricot and fresh pear. It is silky smooth and creamy in the mouth with pronounced flavors of clover honey, pear tart and baked sweet apples. The acidity is perfectly balanced so you can appreciate its velvety richness without feeling that the sweetness is too cloying.
377	Greece	A fresh, tangy, vibrant wine that has ripe green plum and apple flavors alongside a layer of full, forward fruit.
596	Greece	This indigenous Cretan variety shows its character in the deft hands of Lyrarakis, grown at high altitude. Aromas of fresh pineapple, citrus and flowers lead into pear, green apple and saline notes. Balanced and bright.
873	Hungary	This delicate Hungarian white wine is a blend of 86% Furmint, 9% Yellow Muscat and 5% Kabar. It has enticing aromas of white flowers, botrytis, gardenia, apple blossom and apricot that prepare your palate for flavors of peach juice, citrus zest, grapefruit juice, caramelized pineapple and a crisp clean finish.
1155	Greece	The White Fox is a refreshing, crisp white that offers a balance of acidity, spice and creamy pear flavors. There's body and the wine has weight without being heavy, its lemon acidity keeping it aloft.
1160	Greece	The bone-dry, earthy minerality of Assyrtiko blends well with the crisp, fresh fruit flavors of Sauvignon Blanc in this white blend. Clean, simple flavors of citrus, spice and slate give the wine a quaffable, food-friendly edge.
1486	Hungary	The rich, spicy and savory nose evoke the food for which the country is known, and this wine would undoubtedly pair well with full-bodied, spiced meats and stews. Its full, spicy nose leads into dependable flavors of red berry, wooded spice and pepper, with a slightly bitter, smoked edge. Not a terribly complex wine, but solid and tasty nonetheless.
2115	Greece	Big fruit aromas of plum, raspberry and a whiff of pepper start this enjoyable red from Gerovassiliou. On the palate, flavors of spicy black fruit, clove and smoke appeal and should pair well with grilled meat dishes and stews.
2166	Greece	Thyme and crushed herbs on the nose of this red lead into flavors of sweet spice, smoked meat and boysenberry. The wine has an exotic spin and a balanced overall character. Elegant and distinctive.
2183	Greece	Lemon zest, mango and flowers lead the nose on this elegant Malagousia. Smooth and silky with juicy orange and citrus flavors, the wine has an elegant overall character.
2185	Greece	Fresh lemon, sea salt and grapefruit aromas lead this buoyant pour from Crete. On the palate, appealing flavors of ripe lemon, tropical fruit and spice give it weight enough to pair with heartier dishes. That said, it finishes clean with a peppery finish.
2292	Slovenia	Earthy with hints of roasted nuts and dried herb, this is a uniquely savory Sauvignon that would pair well with herb-accented fowl and fish. The palate is round and rich, but balanced with brisk lime acidity and a characteristic grassiness on the finish.
3462	Greece	Full-bodied aromas of vanilla, ripe blackberry, spice and cinnamon lead this assertive red from Drama. Rich, spicy and savory on the palate, the wine has a nice balance of minerality and layered fruit. The finish has a smoky spin.
3560	Hungary	This straw-colored wine made predominantely from Furmint has tropical aromas of passion fruit and mango and a touch of fresh white peach. White peach, yellow peach and guava flavors show on the palate before the zesty finish.
3738	Greece	he nose on this Assyrtiko blend is feisty and spicy, followed a combination of tropical fruit, citrus and vanilla spice on the palate. The wine is fuller bodied but brisk on the finish. Appealing overall and a very nice week-day white.
4007	Croatia	Salt air, lemon pith and lemon blossom lead in this 100% Malvasia Istriana. A wave of citrus and pronounced juicy grapefruit flavors refreshes the midpalate. The finish is zesty and lively.
4019	Croatia	This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors of dark cherry, cranberry and black plum have a strong acidic backbone and a long finish.
4295	Greece	A snappy nose of citrus and grapefruit is followed by a very pretty balance of fresh apples and citrus and spice. Aromatic but dry, it will pair well with spicy cuisine or grilled seafood.
4788	Greece	White flowers and peach start this slightly simple but good white from Greece. On the palate, lemon and orange flavors join with a honeyed spice. The overall character is balanced and friendly.
4794	Greece	This wine has the plucky character typical of Greece, but with a polished spin. The nose is allspice, cherry and cocoa, and on the palate, dried fruits, coffee, mesquite smoke and chocolate. The wine finishes spicy and clean. Good, if not a bit aggressive. Pair with meat or hearty fare.
4797	Greece	This Moschofilero starts with honeyed peach, spice and lemon aromas, followed by a light touch of peach and minerals on the palate. Easy drinking and linear, this wine will pair well with cheese and light fare.
4802	Greece	Luscious aromas of ripe peach and citrus are followed by balanced waves of peach, lemon curd and melon on the palate. Soft in style and approachable, this is a good everyday white that drinks very well on its own or paired with poultry, salads.
4874	Greece	This is a great example of a variety Americans are still learning to embrace. Plum and cherry aromas and flavors are approachable and soft, but the wine has good tannic structure which shows potential to age. This would be great with lasagna, steak or vegetarian cuisine.
4884	Greece	White peach, tropical fruit and citrus typify this curvy white punctuated by fragrant Viognier. The rounded fruit is buoyed by Assyrtiko's brisk acidity.
5263	Greece	Produced from indigenous red varieties grown on the slopes of Mt. Olympus, the Rapsani Grand Reserve starts with voluptuous aromas of blackberry, spice box and liquorice, offering full-bodied flavors of black fruit and olive on the palate. The fruit is well balanced by a spice and mineral backbone. A very good red for lamb, dried meats or stews.
5407	Hungary	This Hungarian white has aromas of peach, apricot, citrus blossom and vanilla bean. In the mouth, there are flavors of caramelized apple and wet river rock.
5959	Greece	Tobacco, black pepper and allspice lead this accessible red blend from Elios. On the palate, cheerful red berry and raspberry flavors are both smooth and friendly, with a touch of tobacco spice to add kick. Pair with grilled lamb, pizza.
5990	Slovenia	This Slovenian Chardonnay has aromas of orange, vanilla, toasted almonds and citrus blossom. The mouth delivers flavors of honeydew melon, pear and apple before a crisp acidic finish.
6575	Hungary	This exuberant Tokaji starts with an enticing nose of orange peel, honey, flowers and toast, and explodes in the mouth with intense, delicious waves of lemon, orange and honey flavors. A perfect balance of acid and fruit keeps the wine fresh without losing its luscious appeal. A memorable wine loaded with personality and excitement.
6997	Slovenia	This amber colored, orange-style wine has aromas of canned peaches and apricots on the nose, while fresh stone fruits seem to dominate the full bodied palate. The finish is creamy and lingers on.
6998	Slovenia	This wine is garnet in color, with aromas of cherry, vanilla, red plum and cassis. Flavors of tart cherry, red raspberry and blackberry drive the palate and lead to a lingering finish.
7260	Hungary	A blend of 72% Cabernet Sauvignon, 21% Cabernet Franc and 7% Merlot, this wine has a bouquet of black cherry, black plum and saddle leather. It is fruit forward on the palate, with flavors of cherry and cherry cola joined by notes of baking spice that continue into the soft but persistent finish.
7261	Hungary	This wine has bright aromas of cherry, tart plum, and cherry vanilla. Flavors of cherry, pomegranate and strawberry with notes of Madagascar vanilla and aniseed are wrapped in soft tannins, and the bright finish is its own reward.
7277	Hungary	This wine offers a bouquet of canned peaches and tangerine zest. It is creamy on the palate, with a strong white peach flavor offset by nice vanilla notes.
7581	Greece	This sophisticated Sauvignon Blanc sets itself apart with its rich nose of nuts, vanilla and flowers, followed by pretty flavors of spice and white flowers and fruit. Acidity balances the fruit. A fuller-bodied style that can handle richer seafood dishes.
7589	Greece	This slightly sweet white starts with a lush nose of flowers, orange marmalade and spice, followed by floral flavors edged with spice and minerals. Not overly complex, but paired with grilled fish or squid, a unique and tasty sip.
7676	Greece	Sea salt and lemon rind start this refreshing white. Flavors of citrus, mineral and brine on the finish are balanced and bright. A lovely wine and a great pairing for grilled octopus, sushi or poultry.
7679	Greece	Raspberry, spicebox and cinnamon aromas start this modern-style Xinomavro. Lively acidity and a good tannic structure balance the cherry fruit. A great introduction to the variety.
8275	Croatia	Waxy and floral on the nose with hints of zesty orange peel, this dry, full bodied white is richly concentrated with tangerine, lime and fresh apple flavors. It's bold at 13.6% abv, but maintains a crisp, citrus pith astringency and orange blossom elegance to the finish.
8279	Greece	A nose of lemon, slate and rich, ripe fruit leads into balanced, fuller-bodied flavors of citrus and tropical fruit. Fresh acidity balances out the curvier side of the wine. Easygoing and a good everyday sip.
